race,stage_number,classification_type,rank,rider_name,rider_slug,rider_url,bib,team_name,team_slug,team_url,time,gap,points,bonus,source_url
La Vuelta,21,stage,116,H. ARTZ,huub-artz,https://www.lavuelta.es/en/rider/181/intermarche-wanty/huub-artz,181,INTERMARCHÉ - WANTY,,,78h 02' 30'',+ 03h 42' 02'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,117,N. BURATTI,nicolo-buratti,https://www.lavuelta.es/en/rider/103/bahrain-victorious/nicolo-buratti,103,BAHRAIN VICTORIOUS,,,78h 02' 41'',+ 03h 42' 13'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,118,L. VAN BOVEN,luca-van-boven,https://www.lavuelta.es/en/rider/188/intermarche-wanty/luca-van-boven,188,INTERMARCHÉ - WANTY,,,78h 02' 42'',+ 03h 42' 14'',-,B : 6'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,119,E. PLANCKAERT,edward-planckaert,https://www.lavuelta.es/en/rider/75/alpecin-deceuninck/edward-planckaert,75,ALPECIN-DECEUNINCK,,,78h 04' 51'',+ 03h 44' 23'',-,B : 4'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,120,L. LOZOUET,leandre-lozouet,https://www.lavuelta.es/en/rider/164/arkea-b-b-hotels/leandre-lozouet,164,ARKEA-B&B HOTELS,,,78h 09' 54'',+ 03h 49' 26'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,121,V. GUERNALEC,victor-guernalec,https://www.lavuelta.es/en/rider/163/arkea-b-b-hotels/victor-guernalec,163,ARKEA-B&B HOTELS,,,78h 13' 17'',+ 03h 52' 49'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,122,M. SOBRERO,matteo-sobrero,https://www.lavuelta.es/en/rider/46/red-bull-bora-hansgrohe/matteo-sobrero,46,RED BULL - BORA - HANSGROHE,,,78h 13' 29'',+ 03h 53' 01'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,123,D. SMITH,dion-allan-smith,https://www.lavuelta.es/en/rider/187/intermarche-wanty/dion-allan-smith,187,INTERMARCHÉ - WANTY,,,78h 13' 36'',+ 03h 53' 08'',-,B : 6'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,124,R. CAVAGNA,remi-cavagna,https://www.lavuelta.es/en/rider/132/groupama-fdj/remi-cavagna,132,GROUPAMA-FDJ,,,78h 15' 46'',+ 03h 55' 18'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,125,M. PEDERSEN,mads-pedersen,https://www.lavuelta.es/en/rider/27/lidl-trek/mads-pedersen,27,LIDL-TREK,,,78h 17' 27'',+ 03h 56' 59'',-,B : 32'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,126,M. MIHKELS,madis-mihkels,https://www.lavuelta.es/en/rider/83/ef-education-easypost/madis-mihkels,83,EF EDUCATION - EASYPOST,,,78h 21' 19'',+ 04h 00' 51'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,127,B. TURNER,ben-turner,https://www.lavuelta.es/en/rider/68/ineos-grenadiers/ben-turner,68,INEOS GRENADIERS,,,78h 26' 32'',+ 04h 06' 04'',-,B : 10'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,128,D. DE POOTER,dries-de-pooter,https://www.lavuelta.es/en/rider/183/intermarche-wanty/dries-de-pooter,183,INTERMARCHÉ - WANTY,,,78h 27' 37'',+ 04h 07' 09'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,129,J. STEWART,thomas-jake-stewart,https://www.lavuelta.es/en/rider/226/israel-premier-tech/thomas-jake-stewart,226,ISRAEL - PREMIER TECH,,,78h 28' 36'',+ 04h 08' 08'',-,B : 2'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,130,D. VAN BAARLE,dylan-van-baarle,https://www.lavuelta.es/en/rider/18/team-visma-lease-a-bike/dylan-van-baarle,18,TEAM VISMA | LEASE A BIKE,,,78h 28' 44'',+ 04h 08' 16'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,131,F. GANNA,filippo-ganna,https://www.lavuelta.es/en/rider/63/ineos-grenadiers/filippo-ganna,63,INEOS GRENADIERS,,,78h 29' 27'',+ 04h 08' 59'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,132,T. BAYER,tobias-bayer,https://www.lavuelta.es/en/rider/72/alpecin-deceuninck/tobias-bayer,72,ALPECIN-DECEUNINCK,,,78h 30' 28'',+ 04h 10' 00'',-,-,https://www.lavuelta.es/en/rankings/stage-21
