rider_name,rider_slug,rider_url
S. CHUMIL GONZALEZ,sergio-geovani-chumil-gonzalez,https://www.lavuelta.es/en/rider/212/burgos-burpellet-bh/sergio-geovani-chumil-gonzalez
S. DE PESTEL,sander-de-pestel,https://www.lavuelta.es/en/rider/94/decathlon-ag2r-la-mondiale-team/sander-de-pestel
S. FERNANDEZ RODRIGUEZ,sinuhe-fernandez-rodriguez,https://www.lavuelta.es/en/rider/217/burgos-burpellet-bh/sinuhe-fernandez-rodriguez
S. HIGUITA,sergio-andres-higuita-garcia,https://www.lavuelta.es/en/rider/124/xds-astana-team/sergio-andres-higuita-garcia
S. KRAGH ANDERSEN,soren-kragh-andersen,https://www.lavuelta.es/en/rider/26/lidl-trek/soren-kragh-andersen
S. KUSS,sepp-kuss,https://www.lavuelta.es/en/rider/16/team-visma-lease-a-bike/sepp-kuss
S. KÜNG,stefan-kueng,https://www.lavuelta.es/en/rider/138/groupama-fdj/stefan-kueng
S. PETILLI,simone-petilli,https://www.lavuelta.es/en/rider/186/intermarche-wanty/simone-petilli
S. QUINN,sean-quinn,https://www.lavuelta.es/en/rider/85/ef-education-easypost/sean-quinn
S. SAMITIER SAMITIER,sergio-samitier-samitier,https://www.lavuelta.es/en/rider/172/cofidis/sergio-samitier-samitier
T. BAYER,tobias-bayer,https://www.lavuelta.es/en/rider/72/alpecin-deceuninck/tobias-bayer
T. GRUEL,thibaud-gruel,https://www.lavuelta.es/en/rider/134/groupama-fdj/thibaud-gruel
T. PIDCOCK,tom-pidcock,https://www.lavuelta.es/en/rider/111/q36-5-pro-cycling-team/tom-pidcock
T. ROOSEN,timo-roosen,https://www.lavuelta.es/en/rider/196/team-picnic-postnl/timo-roosen
T. TRÆEN,torstein-traeen,https://www.lavuelta.es/en/rider/108/bahrain-victorious/torstein-traeen
T. VAN DIJKE,tim-van-dijke,https://www.lavuelta.es/en/rider/47/red-bull-bora-hansgrohe/tim-van-dijke
V. CAMPENAERTS,victor-campenaerts,https://www.lavuelta.es/en/rider/13/team-visma-lease-a-bike/victor-campenaerts
V. GUERNALEC,victor-guernalec,https://www.lavuelta.es/en/rider/163/arkea-b-b-hotels/victor-guernalec
V. LANGELLOTTI,victor-langellotti,https://www.lavuelta.es/en/rider/66/ineos-grenadiers/victor-langellotti
V. PARET PEINTRE,valentin-paret-peintre,https://www.lavuelta.es/en/rider/53/soudal-quick-step/valentin-paret-peintre
W. KELDERMAN,wilco-kelderman,https://www.lavuelta.es/en/rider/15/team-visma-lease-a-bike/wilco-kelderman
W. POELS,wout-poels,https://www.lavuelta.es/en/rider/127/xds-astana-team/wout-poels
X. AZPARREN IRURZUN,xabier-azparren-irurzun,https://www.lavuelta.es/en/rider/113/q36-5-pro-cycling-team/xabier-azparren-irurzun
X. PICKERING,xavier-finlay-xavier-pickering,https://www.lavuelta.es/en/rider/107/bahrain-victorious/xavier-finlay-xavier-pickering
