race,stage_number,classification_type,rank,rider_name,rider_slug,rider_url,bib,team_name,team_slug,team_url,time,gap,points,bonus,source_url
Tour de France,1,gc,35,R. CARAPAZ,richard-carapaz,https://www.letour.fr/en/rider/41/ef-education-easypost/richard-carapaz,41.0,EF EDUCATION - EASYPOST,ef-education-easypost,https://www.letour.fr/en/team/EFE/ef-education-easypost,00h 23' 23'',+ 00h 01' 36'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,36,J. PARRA,jose-felix-parra-cuerda,https://www.letour.fr/en/rider/228/caja-rural-seguros-rga/jose-felix-parra-cuerda,228.0,CAJA RURAL-SEGUROS RGA,caja-rural-seguros-rga,https://www.letour.fr/en/team/CJR/caja-rural-seguros-rga,00h 23' 25'',+ 00h 01' 38'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,37,P. CASTRILLO,pablo-castrillo-zapater,https://www.letour.fr/en/rider/142/movistar-team/pablo-castrillo-zapater,142.0,MOVISTAR TEAM,movistar-team,https://www.letour.fr/en/team/MOV/movistar-team,00h 23' 38'',+ 00h 01' 51'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,38,J. CEPEDA,jefferson-cepeda,https://www.letour.fr/en/rider/143/movistar-team/jefferson-cepeda,143.0,MOVISTAR TEAM,movistar-team,https://www.letour.fr/en/team/MOV/movistar-team,00h 23' 38'',+ 00h 01' 51'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,39,A. BALDERSTONE,abel-balderstone-roumens,https://www.letour.fr/en/rider/222/caja-rural-seguros-rga/abel-balderstone-roumens,222.0,CAJA RURAL-SEGUROS RGA,caja-rural-seguros-rga,https://www.letour.fr/en/team/CJR/caja-rural-seguros-rga,00h 23' 39'',+ 00h 01' 52'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,40,C. UIJTDEBROEKS,cian-uijtdebroeks,https://www.letour.fr/en/rider/141/movistar-team/cian-uijtdebroeks,141.0,MOVISTAR TEAM,movistar-team,https://www.letour.fr/en/team/MOV/movistar-team,00h 23' 40'',+ 00h 01' 53'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,41,R. DHONDT,robbe-dhondt,https://www.letour.fr/en/rider/215/team-picnic-postnl/robbe-dhondt,215.0,TEAM PICNIC POSTNL,team-picnic-postnl,https://www.letour.fr/en/team/TPP/team-picnic-postnl,00h 23' 42'',+ 00h 01' 55'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,42,L. PLAPP,lucas-plapp,https://www.letour.fr/en/rider/117/team-jayco-alula/lucas-plapp,117.0,TEAM JAYCO ALULA,team-jayco-alula,https://www.letour.fr/en/team/JAY/team-jayco-alula,00h 23' 44'',+ 00h 01' 57'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,43,S. KUSS,sepp-kuss,https://www.letour.fr/en/rider/17/team-visma-lease-a-bike/sepp-kuss,17.0,TEAM VISMA | LEASE A BIKE,team-visma-lease-a-bike,https://www.letour.fr/en/team/TVL/team-visma-lease-a-bike,00h 23' 45'',+ 00h 01' 58'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,44,A. PARET PEINTRE,aurelien-paret-peintre,https://www.letour.fr/en/rider/56/decathlon-cma-cgm-team/aurelien-paret-peintre,56.0,DECATHLON CMA CGM TEAM,decathlon-cma-cgm-team,https://www.letour.fr/en/team/DCT/decathlon-cma-cgm-team,00h 23' 49'',+ 00h 02' 02'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,45,D. GEE,derek-james-gee,https://www.letour.fr/en/rider/32/lidl-trek/derek-james-gee,32.0,LIDL-TREK,lidl-trek,https://www.letour.fr/en/team/LTK/lidl-trek,00h 23' 50'',+ 00h 02' 03'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,46,M. VAN GILS,maxim-van-gils,https://www.letour.fr/en/rider/28/red-bull-bora-hansgrohe/maxim-van-gils,28.0,RED BULL - BORA - HANSGROHE,red-bull-bora-hansgrohe,https://www.letour.fr/en/team/RBH/red-bull-bora-hansgrohe,00h 23' 51'',+ 00h 02' 04'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,47,D. VAN BAARLE,dylan-van-baarle,https://www.letour.fr/en/rider/95/soudal-quick-step/dylan-van-baarle,95.0,SOUDAL QUICK-STEP,soudal-quick-step,https://www.letour.fr/en/team/SOQ/soudal-quick-step,00h 23' 53'',+ 00h 02' 06'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,48,M. LE BERRE,mathis-le-berre,https://www.letour.fr/en/rider/206/totalenergies/mathis-le-berre,206.0,TOTALENERGIES,totalenergies,https://www.letour.fr/en/team/TEN/totalenergies,00h 23' 53'',+ 00h 02' 06'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,49,S. QUINN,sean-quinn,https://www.letour.fr/en/rider/45/ef-education-easypost/sean-quinn,45.0,EF EDUCATION - EASYPOST,ef-education-easypost,https://www.letour.fr/en/team/EFE/ef-education-easypost,00h 23' 55'',+ 00h 02' 08'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,50,D. GODON,dorian-godon,https://www.letour.fr/en/rider/85/netcompany-ineos-cycling-team/dorian-godon,85.0,NETCOMPANY INEOS CYCLING TEAM,netcompany-ineos-cycling-team,https://www.letour.fr/en/team/NCI/netcompany-ineos-cycling-team,00h 23' 57'',+ 00h 02' 10'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,51,J. BERCKMOES,jenno-berckmoes,https://www.letour.fr/en/rider/153/lotto-intermarche/jenno-berckmoes,153.0,LOTTO INTERMARCHE,lotto-intermarche,https://www.letour.fr/en/team/LOI/lotto-intermarche,00h 23' 57'',+ 00h 02' 10'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,52,E. VERSTRYNGE,emiel-verstrynge,https://www.letour.fr/en/rider/108/alpecin-premier-tech/emiel-verstrynge,108.0,ALPECIN-PREMIER TECH,alpecin-premier-tech,https://www.letour.fr/en/team/APT/alpecin-premier-tech,00h 23' 58'',+ 00h 02' 11'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,53,J. TARLING,joshua-michael-tarling,https://www.letour.fr/en/rider/87/netcompany-ineos-cycling-team/joshua-michael-tarling,87.0,NETCOMPANY INEOS CYCLING TEAM,netcompany-ineos-cycling-team,https://www.letour.fr/en/team/NCI/netcompany-ineos-cycling-team,00h 24' 01'',+ 00h 02' 14'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,54,S. HIGUITA,sergio-andres-higuita-garcia,https://www.letour.fr/en/rider/61/xds-astana-team/sergio-andres-higuita-garcia,61.0,XDS ASTANA TEAM,xds-astana-team,https://www.letour.fr/en/team/XAT/xds-astana-team,00h 24' 05'',+ 00h 02' 18'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,55,J. HINDLEY,jai-hindley,https://www.letour.fr/en/rider/24/red-bull-bora-hansgrohe/jai-hindley,24.0,RED BULL - BORA - HANSGROHE,red-bull-bora-hansgrohe,https://www.letour.fr/en/team/RBH/red-bull-bora-hansgrohe,00h 24' 11'',+ 00h 02' 24'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,56,M. HIRSCHI,marc-hirschi,https://www.letour.fr/en/rider/194/tudor-pro-cycling-team/marc-hirschi,194.0,TUDOR PRO CYCLING TEAM,tudor-pro-cycling-team,https://www.letour.fr/en/team/TUD/tudor-pro-cycling-team,00h 24' 12'',+ 00h 02' 25'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,57,B. MCNULTY,brandon-mcnulty,https://www.letour.fr/en/rider/4/uae-team-emirates-xrg/brandon-mcnulty,4.0,UAE TEAM EMIRATES XRG,uae-team-emirates-xrg,https://www.letour.fr/en/team/UEX/uae-team-emirates-xrg,00h 24' 13'',+ 00h 02' 26'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,58,C. BRAZ AFONSO,clement-braz-afonso,https://www.letour.fr/en/rider/183/groupama-fdj-united/clement-braz-afonso,183.0,GROUPAMA-FDJ UNITED,groupama-fdj-united,https://www.letour.fr/en/team/GFC/groupama-fdj-united,00h 24' 17'',+ 00h 02' 30'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
